foto,fila,nombre,arete,primaria,rango_3m,distancia_previa_m,estado,revision_visual,area_cm2,mask_area_px,cm_per_px,marker_side_px,cow_dets,selected_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,sha256_foto
IMG_20260912_065058.jpg,1,Estrellita,197260,1,1,3.106,ok,aceptar,16159.61344187991,1146882,0.11870147498115567,126.36742721504774,1,0.9380362629890442,1648.06,1185.74,3647.98,2390.53,02f4a14048238af08194d3934ce529a5379f536310b870b3d5f4b5256856716a
IMG_20260912_065055.jpg,1,Estrellita,197260,0,2,3.146,ok,aceptar,16674.27769980408,1153844,0.12021259355196448,124.7789400160968,1,0.9448078274726868,1583.41,1218.53,3548.86,2421.08,d33dcf385b21347689d46f9a0485ea07502361b927f7752b9a1f9ed70e2c51b9
IMG_20260912_065052.jpg,1,Estrellita,197260,0,3,3.158,ok,aceptar,18331.703056827842,1258686,0.12068205756152395,124.29353876696186,1,0.9420480132102966,1253.79,1231.71,3351.16,2437.47,a27c74a7aad59ed364f08cfb15571ddb32ecda63d1248a85fd47a19fa54d93d0
IMG_20260912_065054.jpg,1,Estrellita,197260,0,4,3.186,ok,aceptar,18909.962792928392,1276156,0.12172883168472966,123.22471013973991,1,0.9400746822357178,1276.02,1229.75,3494.38,2433.89,b7a4062ed024f141263dc4f284766aa6cdaec6ec7bfe4bd6c8e0a19ee05b8f57
IMG_20260912_065057.jpg,1,Estrellita,197260,0,5,3.224,ok,aceptar,17920.62908843464,1180875,0.12318977482362009,121.76335269284004,1,0.9456705451011658,1656.07,1217.96,3674.78,2398.79,8ea23a76ef9f05eccc760b94de568f8f5c6c77002125654df5571824709d69fb
IMG_20260912_065501.jpg,2,Rosalinda,236681,1,1,2.782,ok,aceptar,12018.564270601944,1063506,0.10630564403281696,141.1025739646471,1,0.9074496030807495,1030.47,1060.21,2895.75,2301,5ec08389b6b6446a05562aeb1625a7dcdeb2aa17c0c9f78b91c82928300a6d40
IMG_20260912_065502.jpg,2,Rosalinda,236681,0,2,2.782,ok,aceptar,11829.245749953054,1046497,0.10631866954792123,141.08528693767204,1,0.9148436784744263,1032.43,1056.36,2858.1,2311.06,8efdedef7ef6da8d8ccede41c38c5f4a9328577eeccde52b203cad0e07de80f8
IMG_20260912_065428.jpg,2,Rosalinda,236681,0,3,2.768,ok,aceptar,12081.9313356059,1076433,0.105943588677818,141.58478287549866,1,0.9244725704193115,1033.13,1071.94,2945.52,2336.04,2448dafc4643d07822d8c87bfd96481f6bd7f47d69038179a651cb5aaf30a8dd
IMG_20260912_065427.jpg,2,Rosalinda,236681,0,4,2.758,ok,aceptar,12140.180046017424,1092767,0.10540198213818648,142.31231420614426,1,0.9502943158149719,1040.98,1132.51,2927.86,2330.12,2bc8f8d8b91e5e87322d6a90936d5608b49b7eef04ad55db9e5ff47479914127
IMG_20260912_065429.jpg,2,Rosalinda,236681,0,5,2.757,ok,aceptar,12184.93571792727,1097892,0.10534933800598778,142.38342911226874,1,0.9308342337608337,1012.27,1107.52,2928.28,2330.63,6f69ebf623ac544db35f687e214de63ff1d71c75ae2c7443c520f455e1e94d34
